economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,Cluster
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,1.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,2.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,3.0,,,,,,,1
,,1,14.0,,,,,,,1
,,1,24.0,,,,,,,1
,,1,18.0,,,,,,,1
,,1,8.0,,,,,,,1
,,1,6.0,,,,,,,1
,,1,12.0,,,,,,,1
,,1,7.0,,,,,,,1
,,1,7.0,,,,,,,1
,,1,5.0,,,,,,,1
,,1,5.0,,,,,,,1
,,1,4.0,,,,,,,1
,,1,5.0,,,,,,,1
,,1,8.0,,,,,,,1
,,1,4.0,,,,,,,1
,,1,4.0,,,,,,,1
,,1,4.0,,,,,,,1
,,1,13.0,,,,,,,1
,,1,4.0,,,,,,,1
,,1,4.0,,,,,,,1
,,1,9.0,,,,,,,1
,,1,4.0,,,,,,,1
,,1,4.0,,,,,,,1
,,1,6.0,,,,,,,1
,,1,5.0,,,,,,,1
,,1,4.0,,,,,,,1
,,1,4.0,,,,,,,1
,,1,4.0,,,,,,,1
,,1,14.0,,,,,,,1
,,1,5.0,,,,,,,1
,,1,5.0,,,,,,,1
,,1,5.0,,,,,,,1
,,1,4.0,,,,,,,1
,,1,4.0,,,,,,,1
,,1,18.0,,,,,,,1
,,1,8.0,,,,,,,1
,,1,116.0,,,,,,,0
,,1,41.0,,,,,,,0
,,1,9.0,,,,,,,1
,,1,5.0,,,,,,,1
,,1,4.0,,,,,,,1
,,1,4.0,,,,,,,1
,,1,11.0,,,,,,,1
,,1,4.0,,,,,,,1
,,1,6.0,,,,,,,1
,,1,34.0,,,,,,,1
,,1,7.0,,,,,,,1
,,1,22.0,,,,,,,1
,,1,21.0,,,,,,,1
,,1,4.0,,,,,,,1
,,2,2.0,,,,,,,1
,,6,1.0,1.0,,,,,,1
,,1,13.0,17.0,,,,,,3
,,1,13.0,1.0,,,,,,1
,,1,3.0,4.0,,,,,,1
,,1,3.0,9.0,,,,,,3
,,1,3.0,3.0,,,,,,1
,,1,7.0,4.0,,,,,,1
,,1,3.0,8.0,,,,,,3
,,1,3.0,7.0,,,,,,1
,,1,4.0,14.0,,,,,,3
,,1,3.0,22.0,,,,,,3
,,1,4.0,2.0,,,,,,1
,,1,8.0,6.0,,,,,,1
,,1,10.0,22.0,,,,,,3
,,1,8.0,26.0,,,,,,3
,,1,5.0,9.0,,,,,,3
,,1,3.0,8.0,,,,,,3
,,1,6.0,8.0,,,,,,3
,,1,4.0,4.0,,,,,,1
,,1,3.0,1.0,,,,,,1
,,1,3.0,25.0,,,,,,3
,,1,3.0,2.0,,,,,,1
,,1,4.0,1.0,,,,,,1
,,1,3.0,6.0,,,,,,1
,,1,3.0,2.0,,,,,,1
,,1,4.0,1.0,,,,,,1
,,1,4.0,34.0,,,,,,5
,,1,6.0,11.0,,,,,,3
,,1,7.0,12.0,,,,,,3
,,1,4.0,13.0,,,,,,3
,,1,4.0,1.0,,,,,,1
,,1,8.0,4.0,,,,,,1
,,1,4.0,2.0,,,,,,1
,,1,3.0,2.0,,,,,,1
,,1,3.0,1.0,,,,,,1
,,1,5.0,15.0,,,,,,3
,,1,3.0,3.0,,,,,,1
,,1,3.0,30.0,,,,,,5
,,1,7.0,15.0,,,,,,3
,,1,3.0,7.0,,,,,,1
,,1,8.0,7.0,,,,,,1
,,1,3.0,6.0,,,,,,1
,,1,3.0,2.0,,,,,,1
,,1,3.0,10.0,,,,,,3
,,1,3.0,1.0,,,,,,1
,,1,3.0,14.0,,,,,,3
,,1,4.0,4.0,,,,,,1
,,1,4.0,12.0,,,,,,3
,,1,3.0,12.0,,,,,,3
,,1,6.0,9.0,,,,,,3
,,1,5.0,6.0,,,,,,1
,,1,8.0,36.0,,,,,,5
,,1,3.0,2.0,,,,,,1
,,1,3.0,5.0,,,,,,1
,,1,4.0,7.0,,,,,,1
,,1,3.0,2.0,,,,,,1
,,1,4.0,3.0,,,,,,1
,,1,3.0,35.0,,,,,,5
,,1,3.0,38.0,,,,,,5
,,1,14.0,33.0,,,,,,5
,,1,10.0,66.0,,,,,,5
,,1,3.0,1.0,,,,,,1
,,1,8.0,21.0,,,,,,3
,,1,4.0,20.0,,,,,,3
,,1,3.0,6.0,,,,,,1
,,1,4.0,1.0,,,,,,1
,,1,3.0,5.0,,,,,,1
,,1,2.0,1.0,,,,,,1
,,1,2.0,10.0,,,,,,3
,,1,2.0,1.0,,,,,,1
,,1,2.0,9.0,,,,,,3
,,1,2.0,7.0,,,,,,1
,,1,2.0,5.0,,,,,,1
,,1,2.0,43.0,,,,,,5
,,1,2.0,9.0,,,,,,3
,,1,2.0,1.0,,,,,,1
,,1,2.0,12.0,,,,,,3
,,1,2.0,16.0,,,,,,3
,,1,2.0,3.0,,,,,,1
,,1,2.0,1.0,,,,,,1
,,1,2.0,7.0,,,,,,1
,,1,2.0,35.0,,,,,,5
,,1,2.0,4.0,,,,,,1
,,1,2.0,4.0,,,,,,1
,,1,2.0,3.0,,,,,,1
,,1,2.0,2.0,,,,,,1
,,1,2.0,7.0,,,,,,1
,,1,2.0,1.0,,,,,,1
,,1,2.0,2.0,,,,,,1
,,1,2.0,1.0,,,,,,1
,,1,2.0,2.0,,,,,,1
,,1,2.0,2.0,,,,,,1
,,1,2.0,4.0,,,,,,1
,,1,2.0,14.0,,,,,,3
,,1,2.0,10.0,,,,,,3
,,1,2.0,3.0,,,,,,1
,,1,2.0,3.0,,,,,,1
,,1,2.0,1.0,,,,,,1
,,1,2.0,3.0,,,,,,1
,,1,2.0,4.0,,,,,,1
,,1,1.0,3.0,,,,,,1
,,1,1.0,2.0,,,,,,1
,,1,1.0,2.0,,,,,,1
,,1,1.0,2.0,,,,,,1
,,1,1.0,1.0,,,,,,1
,,1,1.0,13.0,,,,,,3
,,1,1.0,2.0,,,,,,1
,,1,1.0,2.0,,,,,,1
,,1,1.0,3.0,,,,,,1
,,1,1.0,6.0,,,,,,1
,,1,1.0,3.0,,,,,,1
,,1,1.0,1.0,,,,,,1
,,1,1.0,3.0,,,,,,1
,,1,1.0,2.0,,,,,,1
,,1,1.0,3.0,,,,,,1
,,1,1.0,1.0,,,,,,1
,,1,1.0,4.0,,,,,,1
,,1,1.0,5.0,,,,,,1
,,1,1.0,9.0,,,,,,3
,,1,1.0,7.0,,,,,,1
,,1,1.0,5.0,,,,,,1
,,1,1.0,2.0,,,,,,1
,,1,1.0,4.0,,,,,,1
,,1,1.0,4.0,,,,,,1
,,1,1.0,1.0,,,,,,1
,,1,1.0,20.0,,,,,,3
,,1,1.0,13.0,,,,,,3
,,1,1.0,2.0,,,,,,1
,,1,1.0,5.0,,,,,,1
,,1,1.0,8.0,,,,,,3
,,1,1.0,4.0,,,,,,1
,,1,1.0,15.0,,,,,,3
,,1,1.0,2.0,,,,,,1
,,1,1.0,6.0,,,,,,1
