,State,District,Block,latLong
19689,Uttarakhand,Nainital,Ramgarh,"[29.450000762939453, 79.55000305175781]"
19783,Uttarakhand,Tehri Garhwal,Jaunpur,"[30.3754, 78.4339]"
20112,Orissa,Sonepur,Tarva,"[20.8475, 83.894]"
20113,Orissa,Mayurbhanj,Baripada,"[21.928937911987305, 86.7624282836914]"
20114,Orissa,Kandhamal,Chakapad,"[20.2873477935791, 84.4786148071289]"
20115,Orissa,Deogarh,Riamal,"[21.3617, 84.65886]"
20116,Orissa,Boudh,Boudh,"[20.844446182250977, 84.30723571777344]"
20117,Orissa,Balasore,Remuna,"[21.522600173950195, 86.8729019165039]"
20118,Orissa,Balasore,Baleshwar,"[21.5031795501709, 87.10771942138672]"
20119,Orissa,Jajpur,Barchana,"[20.849899291992188, 86.33719635009766]"
20120,Orissa,Jajpur,Jajpur,"[20.8499, 86.3372]"
20121,Orissa,Koraput,Koraput,"[18.8132, 82.7126]"
20122,Orissa,Sundargarh,,"[22.1198, 84.0374]"
20123,Orissa,Koraput,,"[18.8132, 82.7126]"
20124,Orissa,Nayagarh,,"[20.1269, 85.1047]"
20125,Orissa,Kandhamal,,"[20.12906, 84.04595]"
20126,Orissa,Kalahandi,,"[19.87989, 82.74615]"
20127,Orissa,Khurda,,"[28.2563, 77.84562]"
20128,Orissa,Ganjam,,"[19.3882, 85.049]"
20419,Orissa,Sundargarh,Sundargarh,"[22.1198, 84.0374]"
20420,Orissa,Sundargarh,Kutra,"[22.234439849853516, 84.45306396484375]"
20422,Orissa,Sundargarh,Nuagaon,"[22.394500732421875, 84.95101928710938]"
20424,Orissa,Sundargarh,Gurundia,"[21.84998321533203, 84.78153991699219]"
20427,Orissa,Sundargarh,Himgir,"[21.94806, 83.70129]"
20430,Orissa,Sundargarh,Rajgangpur,"[22.18630027770996, 84.58399963378906]"
20431,Orissa,Sundargarh,Bisra,"[22.24720573425293, 85.00052642822266]"
20434,Orissa,Sundargarh,Lahunipada,"[21.88382339477539, 84.93895721435547]"
20436,Orissa,Sonepur,Binaka,"[20.8475, 83.894]"
20437,Orissa,Sambalpur,Kuchinda,"[21.74459, 84.35337]"
20438,Orissa,Sambalpur,Bamra,"[22.05257225036621, 84.28128814697266]"
20440,Orissa,Sambalpur,Manesar,"[21.42147, 84.03173]"
20442,Orissa,Sambalpur,Jujomura,"[21.23426, 84.14221]"
20445,Orissa,Rayagada,Rayagada,"[19.1754, 83.4109]"
20446,Orissa,Rayagada,Gunupur,"[19.0806, 83.8079]"
20448,Orissa,Puri,Puri Sadar,"[19.80616, 85.82948]"
20449,Orissa,Puri,Satyabadi,"[19.80044174194336, 85.82675170898438]"
20450,Orissa,Puri,Kona,"[19.80044174194336, 85.82675170898438]"
20451,Orissa,Puri,Krishnaprasad,"[28.62542, 77.29098]"
20452,Orissa,Nuapara,Komna,"[20.502927780151367, 82.67156982421875]"
20453,Orissa,Nabrangpur,Kosagumada,"[19.2304, 82.54985]"
20454,Orissa,Nabrangpur,Nabrangpur,"[19.230398178100586, 82.54985046386719]"
20455,Orissa,Nabrangpur,Dabugam,"[19.2304, 82.54985]"
20456,Orissa,Nabrangpur,Nandahandi,"[19.21286, 82.63969]"
20457,Orissa,Nabrangpur,Papadahandi,"[19.344240188598633, 82.5196533203125]"
20458,Orissa,Nabrangpur,Raigarh,"[21.8755, 83.39454]"
20459,Orissa,Nabrangpur,Umerkote,"[19.665700912475586, 82.20580291748047]"
20460,Orissa,Nayagarh,Odagaon,"[20.018081665039062, 84.98017883300781]"
20462,Orissa,Nayagarh,Nayagarh,"[20.1269, 85.1047]"
20464,Orissa,Mayurbhanj,Karanjia,"[21.7642, 85.9761]"
20465,Orissa,Mayurbhanj,,"[21.89563, 86.41018]"
20466,Orissa,Mayurbhanj,Rairangpur,"[22.265100479125977, 86.17440032958984]"
20467,Orissa,Mayurbhanj,Tiring,"[22.510635375976562, 86.0732192993164]"
20469,Orissa,Mayurbhanj,Khunta,"[21.7171630859375, 86.62313842773438]"
20471,Orissa,Mayurbhanj,Barasahi,"[21.72884, 86.74835]"
20472,Orissa,Mayurbhanj,Kaptipada,"[21.509727478027344, 86.54167175292969]"
20473,Orissa,Mayurbhanj,Udala,"[21.574600219726562, 86.56529998779297]"
20477,Orissa,Mayurbhanj,Betnati,"[21.740360260009766, 86.85122680664062]"
20479,Orissa,Mayurbhanj,Bahalda,"[22.38343048095703, 86.08386993408203]"
20482,Orissa,Mayurbhanj,Raruan,"[21.95796012878418, 85.85476684570312]"
20484,Orissa,Mayurbhanj,Sukruli,"[21.927053451538086, 85.86038970947266]"
20485,Orissa,Mayurbhanj,Kuliana,"[22.06714630126953, 86.64982604980469]"
20489,Orissa,Mayurbhanj,Rasgovindpur,"[21.78143, 87.04788]"
20491,Orissa,Malkangiri,Korukunda,"[18.277265548706055, 81.98979187011719]"
20492,Orissa,Malkangiri,Kudumulugumma,"[18.37896, 82.1808]"
20493,Orissa,Malkangiri,Mathili,"[18.55249, 82.20737]"
20494,Orissa,Malkangiri,Kalimela,"[18.06907, 81.75861]"
20496,Orissa,Koraput,Kotpad,"[19.141199111938477, 82.32420349121094]"
20497,Orissa,Koraput,Pottangi,"[18.563823699951172, 82.96144104003906]"
20499,Orissa,Koraput,Borigumma,"[19.048866271972656, 82.5532455444336]"
20500,Orissa,Koraput,Nandapur,"[18.5635, 82.73817]"
20501,Orissa,Koraput,Laxmipur,"[18.988693237304688, 83.11302185058594]"
20503,Orissa,Khurda,Bhubaneswar,"[20.27261, 85.83312]"
20505,Orissa,Khurda,Bolgarh,"[20.17524, 85.28013]"
20506,Orissa,Khurda,Khurda,"[20.18630027770996, 85.62259674072266]"
20507,Orissa,Khurda,Banpur,"[26.46289, 80.32336]"
20510,Orissa,Keonjhar,Harichandanpur,"[21.33964, 85.78862]"
20511,Orissa,Keonjhar,Ghasipura,"[21.21466, 86.10994]"
20512,Orissa,Keonjhar,Hatadihi,"[21.1689, 86.24586]"
20513,Orissa,Keonjhar,Kendujhargarh,"[22.46852, 88.0605]"
20514,Orissa,Keonjhar,Jhumpura,"[21.83106, 85.56705]"
20518,Orissa,Kendrapara,Pattamundai,"[20.579599380493164, 86.55940246582031]"
20519,Orissa,Kendrapara,Rajnagar,"[20.6912841796875, 86.955078125]"
20520,Orissa,Kendrapara,Mahakalpara,"[20.5159, 86.39799]"
20521,Orissa,Kendrapara,Aul,"[20.67836570739746, 86.64388275146484]"
20523,Orissa,Kendrapara,Derabis,"[20.53981, 86.30495]"
20524,Orissa,Kendrapara,Rajkanika,"[20.734695434570312, 86.69771575927734]"
20525,Orissa,Kendrapara,Kendrapara,"[20.515899658203125, 86.39798736572266]"
20528,Orissa,Kalahandi,Kalampur,"[19.61541748046875, 82.88814544677734]"
20529,Orissa,Kalahandi,Junagarh,"[19.86050033569336, 82.93800354003906]"
20530,Orissa,Kalahandi,Dharamgarh,"[19.86815643310547, 82.7824478149414]"
20531,Orissa,Kalahandi,Koksara,"[19.669248580932617, 82.7055435180664]"
20532,Orissa,Jharsuguda,Jharsuguda,"[21.78605, 83.66065]"
20533,Orissa,Jharsuguda,Laikera,"[21.88553237915039, 84.21265411376953]"
20534,Orissa,Jharsuguda,Lakhanpur,"[21.76667022705078, 83.76667022705078]"
20535,Orissa,Jharsuguda,Kolabira,"[21.803178787231445, 84.1700210571289]"
20539,Orissa,Jajpur,Bari,"[20.691240310668945, 86.34871673583984]"
20540,Orissa,Jajpur,Binjharpur,"[20.722122192382812, 86.40963745117188]"
20542,Orissa,Jajpur,Sukinda,"[20.973012924194336, 85.90994262695312]"
20546,Orissa,Jajpur,Korai,"[20.849899291992188, 86.33719635009766]"
20547,Orissa,Jajpur,Rasulpur,"[20.826610565185547, 86.19819641113281]"
20551,Orissa,Jagatsingpur,Kujang,"[20.323057174682617, 86.53015899658203]"
20553,Orissa,Jagatsingpur,Jagatsingpur,"[20.2527, 86.1791]"
20555,Orissa,Gajapati,Paralakemedi,"[18.78569984436035, 84.08170318603516]"
20556,Orissa,Ganjam,Chatrapur,"[19.357099533081055, 84.98310089111328]"
20557,Orissa,Ganjam,Chikiti,"[19.200599670410156, 84.60209655761719]"
20558,Orissa,Ganjam,Belaguntha,"[19.88290023803711, 84.63780212402344]"
20560,Orissa,Ganjam,Khallikote,"[19.606319427490234, 85.07584381103516]"
20561,Orissa,Ganjam,Polasara,"[19.697500228881836, 84.81620025634766]"
20562,Orissa,Ganjam,Bhanjanagar,"[19.9286, 84.5782]"
20565,Orissa,Ganjam,Ganjam,"[19.388200759887695, 85.04900360107422]"
20566,Orissa,Ganjam,Jagannath Prasad,"[19.965219497680664, 84.78423309326172]"
20567,Orissa,Ganjam,Buguda,"[19.81130027770996, 84.78949737548828]"
20568,Orissa,Ganjam,Patrapur,"[19.130659103393555, 84.5760498046875]"
20572,Orissa,Dhenkanal,Dhenkanal,"[21.17681, 84.87129]"
20573,Orissa,Dhenkanal,Bhuban,"[20.8837, 85.8334]"
20575,Orissa,Dhenkanal,Gandia,"[20.75913, 85.79519]"
20576,Orissa,Dhenkanal,Odapada,"[20.769102096557617, 85.43218994140625]"
20577,Orissa,Dhenkanal,Kamakhyanagar,"[20.93239974975586, 85.54299926757812]"
20579,Orissa,Dhenkanal,Kankadahad,"[21.070444107055664, 85.56974792480469]"
20581,Orissa,Dhenkanal,Parjang,"[20.923919677734375, 85.31452178955078]"
20585,Orissa,Dhenkanal,Hindol,"[20.761573791503906, 85.42386627197266]"
20589,Orissa,Deogarh,,"[25.52953, 73.90899]"
20591,Orissa,Cuttack,Salepur,"[20.48011589050293, 86.09795379638672]"
20592,Orissa,Cuttack,Nischintakoili,"[20.477825164794922, 86.18402862548828]"
20593,Orissa,Cuttack,Cuttack Sadar,"[20.389930725097656, 85.90860748291016]"
20595,Orissa,Cuttack,Narasinghpur,"[20.46316, 85.08401]"
20597,Orissa,Cuttack,Banki,"[20.35946273803711, 85.4625015258789]"
20598,Orissa,Cuttack,Niali,"[20.13541603088379, 86.06061553955078]"
20602,Orissa,Cuttack,Mahanga,"[20.561424255371094, 86.1952896118164]"
20611,Orissa,Bhadrak,Basudevpur,"[21.1232, 86.7478]"
20613,Orissa,Bhadrak,Bhandaripokhri,"[20.96152114868164, 86.36961364746094]"
20614,Orissa,Bhadrak,Dhamnagar,"[20.914600372314453, 86.44229888916016]"
20615,Orissa,Bhadrak,Chandbali,"[20.785776138305664, 86.74867248535156]"
20616,Orissa,Bhadrak,Tihidi,"[20.988693237304688, 86.6340560913086]"
20621,Orissa,Bhadrak,Bonth,"[21.12150764465332, 86.32201385498047]"
20623,Orissa,Balasore,Khaira,"[21.491615295410156, 86.91503143310547]"
20630,Orissa,Balasore,Baliapal,"[21.699155807495117, 87.22672271728516]"
20631,Orissa,Balasore,Bhograi,"[21.663867950439453, 87.34620666503906]"
20632,Orissa,Balasore,Basta,"[21.6838321685791, 87.06880950927734]"
20633,Orissa,Balasore,Jaleswar,"[21.79789924621582, 87.2197036743164]"
20636,Orissa,Bargarh,Bargarh,"[21.3327, 83.6433]"
20637,Orissa,Bargarh,Attabira,"[21.3719482421875, 83.78266143798828]"
20638,Orissa,Bargarh,Jharbandh,"[21.071422576904297, 82.78682708740234]"
20643,Orissa,Bolangir,Laisingha,"[20.86116, 83.5119]"
20644,Orissa,Bolangir,Balangir,"[20.7014, 83.4852]"
20646,Orissa,Angul,Anugul,"[20.76462, 85.1086]"
20647,Orissa,Angul,Athamallik,"[20.72664451599121, 84.53363800048828]"
20648,Orissa,Angul,Chhendipada,"[21.08509, 84.87957]"
20649,Orissa,Angul,Pallahara,"[21.35487174987793, 85.1954345703125]"
20655,Orissa,Sundargarh,Koira,"[21.9079, 85.2514]"
20656,Orissa,Sundargarh,Lefripada,
20658,Orissa,,,"[22.46852, 88.0605]"
20664,Orissa,Sundargarh,Kuarmunda,"[22.281431198120117, 84.77529907226562]"
20666,Orissa,Sonepur,Sonepur,"[20.829999923706055, 83.91999816894531]"
20667,Orissa,Sonepur,Birmaharajpur,"[20.8475, 83.894]"
20675,Orissa,Nuapara,Sinapalli,"[20.02646255493164, 82.66326904296875]"
20677,Orissa,Mayurbhanj,Muruda,"[21.845252990722656, 86.99396514892578]"
20687,Orissa,Khurda,Jatni,"[20.154, 85.7087]"
20688,Orissa,Keonjhar,Saharapada,"[21.73903, 85.94335]"
20695,Orissa,Kalahandi,Jaipatna,"[19.478933334350586, 82.80683135986328]"
20706,Orissa,Jagatsingpur,Tirtol,"[20.30594253540039, 86.34710693359375]"
20709,Orissa,Ganjam,Aska,"[19.614099502563477, 84.66600036621094]"
20710,Orissa,Ganjam,Digapahandi,"[19.37540054321289, 84.5730972290039]"
20720,Orissa,Cuttack,Kantapara,"[20.24554443359375, 85.98004913330078]"
20723,Orissa,Bolangir,Patnagarh,"[20.7079, 83.1291]"
20728,Orissa,Bargarh,Ambobhona,"[21.57861, 83.47569]"
20730,Orissa,Bargarh,Bhatli,"[21.463193893432617, 83.53596496582031]"
20733,Orissa,Balasore,Soro,"[21.291200637817383, 86.69229888916016]"
20738,Orissa,Kendrapara,Marsaghai,"[20.43535, 86.4741]"
20740,Orissa,Ganjam,Surada,"[19.76099967956543, 84.4281005859375]"
20743,Orissa,Angul,Banarpal,"[20.843814849853516, 85.2190170288086]"
20776,Orissa,Mayurbhanj,Jashipur,"[21.954544067382812, 86.06725311279297]"
20783,Orissa,Sonepur,,"[20.8475, 83.894]"
20784,Orissa,Sambalpur,,"[21.45942, 83.97433]"
20785,Orissa,Puri,,"[19.80044174194336, 85.82675170898438]"
20786,Orissa,Nuapara,,"[20.80778, 82.5341]"
20789,Orissa,Jharsuguda,,"[21.78605, 83.66065]"
20790,Orissa,Jagatsingpur,,"[20.2527, 86.1791]"
20791,Orissa,Cuttack,,"[20.4657, 85.90019]"
20792,Orissa,Boudh,,"[20.84445, 84.30723]"
20793,Orissa,Bargarh,,"[21.3327, 83.6433]"
20796,Orissa,Kendrapara,,"[20.5159, 86.39799]"
20797,Orissa,Keonjhar,,"[22.46852, 88.0605]"
20798,Orissa,Jajpur,,"[20.849899291992188, 86.33719635009766]"
20799,Orissa,Dhenkanal,,"[21.17681, 84.87129]"
20801,Orissa,Bhadrak,,"[21.0576, 86.4962]"
20802,Orissa,Balasore,,"[21.48626, 86.96113]"
20803,Orissa,Angul,,"[20.76462, 85.1086]"
20815,Orissa,Rayagada,,"[19.1754, 83.4109]"
20818,Orissa,Nabrangpur,,"[19.2304, 82.54985]"
20822,Orissa,Malkangiri,,"[18.36427, 81.89306]"
20845,Orissa,Bolangir,,"[20.7014, 83.4852]"
20870,Orissa,Gajapati,,"[20.29747, 85.82522]"
20890,Orissa,Angul,Talcher,"[20.9457, 85.2114]"
20905,Orissa,Sundargarh,Lathikata,"[22.2106990814209, 84.59010314941406]"
20906,Orissa,Sundargarh,Tongarpali,"[22.34376335144043, 85.01771545410156]"
20910,Orissa,Sambalpur,Rengali,"[21.6456356048584, 84.05326080322266]"
20911,Orissa,Sambalpur,Jamankira,"[21.53457, 84.40635]"
20913,Orissa,Rayagada,Kolnara,"[19.251041412353516, 83.45611572265625]"
20916,Orissa,Nayagarh,Dasapalla,"[20.327245712280273, 84.85330963134766]"
20917,Orissa,Nayagarh,Nuagaon,"[20.088672637939453, 84.94930267333984]"
20919,Orissa,Nabrangpur,Tentulikhunti,"[19.29925, 82.71562]"
20920,Orissa,Mayurbhanj,Bangiriposi,"[22.150127410888672, 86.5433349609375]"
20922,Orissa,Mayurbhanj,Shamakhunta,"[21.93277, 86.68149]"
20923,Orissa,Mayurbhanj,Suliapada,"[22.028417587280273, 86.94467163085938]"
20924,Orissa,Koraput,Semiliguda,"[18.702945709228516, 82.85845947265625]"
20925,Orissa,Khurda,Tangi,"[19.9223, 85.39521]"
20926,Orissa,Kendrapara,Garadpur,"[20.385393142700195, 86.38314819335938]"
20927,Orissa,Kandhamal,Phiringia,"[20.356861114501953, 84.12250518798828]"
20928,Orissa,Kalahandi,Madanpur Rampur,"[20.19648551940918, 83.51895141601562]"
20931,Orissa,Jajpur,Dharmasala,"[20.849899291992188, 86.33719635009766]"
20932,Orissa,Jajpur,Dhangadi,"[20.849899291992188, 86.33719635009766]"
20934,Orissa,Jagatsingpur,Raghunathpur,"[20.368091583251953, 86.1558609008789]"
20937,Orissa,Ganjam,Rangeilunda,"[19.292911529541016, 84.88092041015625]"
20938,Orissa,Gajapati,R.Udyagiri,"[19.197940826416016, 84.12166595458984]"
20944,Orissa,Cuttack,Tangi Chaudwar,"[19.92230224609375, 85.39521026611328]"
20945,Orissa,Boudh,Kantamal,"[20.646652221679688, 83.74107360839844]"
20946,Orissa,Bolangir,Turekela,"[20.51938, 82.82013]"
20947,Orissa,Bolangir,Titilagarh,"[20.2852, 83.1546]"
20955,Orissa,Sundargarh,Subdega,"[22.285472869873047, 84.10735321044922]"
20959,Orissa,Sambalpur,Dhankauda,"[21.46822, 84.00295]"
20960,Orissa,Nuapara,Nuapara,"[20.807777404785156, 82.53410339355469]"
20972,Orissa,Bhadrak,Bhadrak,"[21.057600021362305, 86.49620056152344]"
21026,Orissa,Sundargarh,Bargaon,"[22.119800567626953, 84.03739929199219]"
21028,Orissa,Sundargarh,Banaigarh,"[21.821619033813477, 84.95049285888672]"
21037,Orissa,Sonepur,Ullunda,"[20.8475, 83.894]"
21042,Orissa,Sambalpur,Naktideul,"[21.254793167114258, 84.5418472290039]"
21048,Orissa,Rayagada,Chandrapur,"[19.598360061645508, 83.88153839111328]"
21049,Orissa,Rayagada,Bissam - Cuttack,"[19.51569938659668, 83.50540161132812]"
21051,Orissa,Nuapara,Boden,"[20.258220672607422, 82.57524108886719]"
21071,Orissa,Mayurbhanj,Gopabandhunagar,"[21.715410232543945, 86.63287353515625]"
21077,Orissa,Mayurbhanj,Thakurmunda,"[21.519437789916992, 86.1585922241211]"
21083,Orissa,Koraput,Narayanpatna,"[18.88001, 83.16869]"
21094,Orissa,Keonjhar,Ghatgaon,"[21.40355, 85.88699]"
21095,Orissa,Keonjhar,Patna,"[21.632282257080078, 85.89566040039062]"
21096,Orissa,Keonjhar,Champua,"[22.0656, 85.6651]"
21103,Orissa,Keonjhar,Telkoi,"[21.35726, 85.39896]"
21116,Orissa,Kandhamal,Tikaballi,"[20.245805740356445, 84.35321807861328]"
21117,Orissa,Kalahandi,Bhawanipatna,"[19.811447143554688, 83.15966796875]"
21120,Orissa,Kalahandi,Kesinga,"[20.296171188354492, 83.30656433105469]"
21138,Orissa,Jagatsingpur,Biridi,"[20.335861206054688, 86.05677795410156]"
21139,Orissa,Jagatsingpur,Nuagaon,"[20.11116600036621, 86.19194030761719]"
21145,Orissa,Ganjam,Kukudakhandi,"[19.390838623046875, 84.75276184082031]"
21152,Orissa,Ganjam,Purusottampur,"[19.5208, 84.8834]"
21164,Orissa,Deogarh,Barakot,"[21.47264289855957, 84.78175354003906]"
21167,Orissa,Cuttack,Barang,"[20.412982940673828, 85.82857513427734]"
21169,Orissa,Cuttack,Athgarh,"[20.51712, 85.629]"
21170,Orissa,Cuttack,Tigiria,"[20.468530654907227, 85.51480102539062]"
21174,Orissa,Bolangir,Tentelkhunti,"[20.7014, 83.4852]"
21189,Orissa,Bargarh,Bheden,"[21.195846557617188, 83.746826171875]"
21191,Orissa,Bargarh,Bijepur,"[21.188291549682617, 83.46306610107422]"
21195,Orissa,Angul,Kishorenagar,"[20.961524963378906, 84.47026824951172]"
21196,Orissa,Angul,Kaniha,"[21.093616485595703, 85.05315399169922]"
21276,Orissa,Kandhamal,G.Udyagiri,"[20.124300003051758, 84.36820220947266]"
21350,Orissa,Rayagada,Kashipur,"[19.355295181274414, 83.1202392578125]"
21353,Orissa,Puri,Delang,"[20.05933380126953, 85.75155639648438]"
21372,Orissa,Nabrangpur,Jhorigaon,"[19.2304, 82.54985]"
21391,Orissa,Mayurbhanj,Bisoi,"[22.160655975341797, 86.40447998046875]"
21410,Orissa,Mayurbhanj,Jamada,"[22.262758255004883, 86.05262756347656]"
21411,Orissa,Malkangiri,Malkangiri,"[18.36427, 81.89306]"
21416,Orissa,Koraput,Jeypore,"[18.857999801635742, 82.57109832763672]"
21417,Orissa,Koraput,Dasamanthpur,"[19.04456, 82.92033]"
21421,Orissa,Khurda,Begunia,"[20.19634, 85.44493]"
21424,Orissa,Khurda,Ralipatna,"[28.2563, 77.84562]"
21475,Orissa,Jagatsingpur,Erasama,"[20.20388, 86.41109]"
21490,Orissa,Ganjam,Hinjilicut,"[19.48390007019043, 84.74440002441406]"
21494,Orissa,Ganjam,Kodala,"[19.621400833129883, 84.93990325927734]"
21532,Orissa,Deogarh,Teleibani,"[21.54665, 84.60749]"
21551,Orissa,Bolangir,Belpada,"[20.58795, 82.97531]"
21552,Orissa,Bolangir,Saintala,"[20.44366, 83.35916]"
21570,Orissa,Bargarh,Barapalli,"[21.18451499938965, 83.5953140258789]"
21571,Orissa,Bargarh,Sohela,"[21.30076, 83.39719]"
21576,Orissa,Bargarh,Padampur,"[21.332700729370117, 83.64330291748047]"
21577,Orissa,Bargarh,Paikamal,"[20.92561, 82.81409]"
21593,Orissa,Balasore,Oupada,"[21.326696395874023, 86.50536346435547]"
21598,Orissa,Balasore,Nilagiri,"[21.462200164794922, 86.768798828125]"
21687,Orissa,Kandhamal,Kotgarh,"[19.83777, 83.72701]"
21711,Orissa,Nayagarh,Bhapur,"[20.287559509277344, 85.29351806640625]"
21753,Orissa,Nuapara,Khariar,"[20.2936, 82.7604]"
21773,Orissa,Mayurbhanj,Sarasakana,"[22.24428, 86.59404]"
21816,Orissa,Keonjhar,Banspal,"[21.61463, 85.41046]"
21817,Orissa,Keonjhar,Anandpur,"[21.21419334411621, 86.12174987792969]"
21840,Orissa,Kandhamal,Raikia,"[20.05866813659668, 84.24060821533203]"
21842,Orissa,Kandhamal,Khajuripade,"[20.437833786010742, 84.40531921386719]"
21844,Orissa,Kalahandi,Golmunda,"[20.060930252075195, 82.7923812866211]"
21864,Orissa,Jajpur,Dasarathpur,"[20.83784, 86.44306]"
21892,Orissa,Gajapati,Gumma,"[18.986074447631836, 84.02127075195312]"
21926,Orissa,Cuttack,Baramba,"[20.41994, 85.34004]"
21948,Orissa,Bolangir,Khaprakhol,"[20.7498, 82.86182]"
22058,Orissa,Malkangiri,Porhia,"[18.36427, 81.89306]"
22157,Orissa,Bargarh,Gaisilat,"[20.960649490356445, 83.32316589355469]"
22377,Orissa,Kandhamal,Daringbodi,"[19.90643882751465, 84.12342834472656]"
22378,Orissa,Kandhamal,Baliguda,"[20.202869415283203, 83.87226867675781]"
22379,Orissa,Kandhamal,Phulbani,"[20.470699310302734, 84.23629760742188]"
22453,Orissa,Bolangir,Bangomunda,"[20.34158, 82.90816]"
22528,Orissa,Boudh,Harvanga,"[20.84445, 84.30723]"
22612,Orissa,Ganjam,Sheragad,"[19.51173, 84.60465]"
22613,Orissa,Ganjam,Kabisuryanagar,"[19.585922241210938, 84.75157928466797]"
22738,Orissa,Nayagarh,Rampur,"[20.05309, 85.33812]"
22740,Orissa,Nayagarh,Khandapara,"[20.26420783996582, 85.17481231689453]"
22855,Orissa,Gajapati,Mohana,"[19.447895050048828, 84.26140594482422]"
22902,Orissa,Rayagada,Padmapur,"[19.239444732666016, 83.82097625732422]"
