Unnamed: 0,economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative,Cluster
784,,,1,14,,,,,,,1,0,,,,,0
785,,,1,24,,,,,,,1,0,,,,,0
786,,,1,18,,,,,,,1,0,,,,,0
787,,,1,8,,,,,,,1,0,,,,,0
788,,,1,6,,,,,,,1,0,,,,,0
789,,,1,12,,,,,,,1,0,,,,,0
790,,,1,7,,,,,,,1,0,,,,,0
791,,,1,7,,,,,,,1,0,,,,,0
792,,,1,5,,,,,,,1,0,,,,,0
793,,,1,5,,,,,,,1,0,,,,,0
795,,,1,5,,,,,,,1,0,,,,,0
796,,,1,8,,,,,,,1,0,,,,,0
800,,,1,13,,,,,,,1,0,,,,,0
803,,,1,9,,,,,,,1,0,,,,,0
806,,,1,6,,,,,,,1,0,,,,,0
807,,,1,5,,,,,,,1,0,,,,,0
811,,,1,14,,,,,,,1,0,,,,,0
812,,,1,5,,,,,,,1,0,,,,,0
813,,,1,5,,,,,,,55,27,0.0,0.0,,7.0,2
814,,,1,5,,,,,,,1,0,,,,,0
817,,,1,18,,,,,,,1,0,,,,,0
818,,,1,8,,,,,,,1,0,,,,,0
819,,,1,116,,,,,,,68,13,0.0,0.0,,4.0,2
820,,,1,41,,,,,,,68,12,0.0,0.0,,3.0,2
821,,,1,9,,,,,,,1,0,,,,,0
822,,,1,5,,,,,,,1,0,,,,,0
825,,,1,11,,,,,,,1,0,,,,,0
827,,,1,6,,,,,,,85,47,0.0,0.0,,4.0,2
828,,,1,34,,,,,,,84,47,0.0,0.0,,4.0,2
829,,,1,7,,,,,,,1,0,,,,,0
830,,,1,22,,,,,,,87,32,0.0,0.0,,4.0,2
831,,,1,21,,,,,,,1,0,,,,,0
835,,,1,13,17.0,,,,,,1,0,,,,,0
836,,,1,13,1.0,,,,,,1,0,,,,,0
840,,,1,7,4.0,,,,,,1,0,,,,,0
846,,,1,8,6.0,,,,,,1,0,,,,,0
847,,,1,10,22.0,,,,,,1,0,,,,,0
848,,,1,8,26.0,,,,,,1,0,,,,,0
849,,,1,5,9.0,,,,,,1,0,,,,,0
851,,,1,6,8.0,,,,,,1,0,,,,,0
861,,,1,6,11.0,,,,,,1,0,,,,,0
862,,,1,7,12.0,,,,,,1,0,,,,,0
865,,,1,8,4.0,,,,,,1,0,,,,,0
869,,,1,5,15.0,,,,,,1,0,,,,,0
872,,,1,7,15.0,,,,,,1,0,,,,,0
874,,,1,8,7.0,,,,,,56,9,0.0,0.0,,1.0,0
883,,,1,6,9.0,,,,,,1,0,,,,,0
884,,,1,5,6.0,,,,,,1,0,,,,,0
885,,,1,8,36.0,,,,,,1,0,,,,,0
893,,,1,14,33.0,,,,,,1,0,,,,,0
894,,,1,10,66.0,,,,,,69,33,0.0,0.0,,8.0,2
896,,,1,8,21.0,,,,,,1,0,,,,,0
1853,,,1,7,,,,,,7.0,1,0,,,,,1
1855,,,1,6,,,,,,6.0,1,0,,,,,1
1856,,,1,5,,,,,,5.0,1,0,,,,,1
1857,,,4,9,,,,,,46696.0,1,0,,,,,1
1870,,,2,7,,,,,,7.0,1,0,,,,,1
1878,,,2,10,,,,,,10.0,1,0,,,,,1
1879,,,2,9,,,,,,9.0,1,0,,,,,1
1881,,,2,8,,,,,,8.0,1,0,,,,,1
1883,,,2,5,,,,,,5.0,1,0,,,,,1
1888,,,2,10,,,,,,10.0,1,0,,,,,1
1891,,,2,12,,,,,,12.0,1,0,,,,,1
1892,,,2,8,,,,,,8.0,1,0,,,,,1
1895,,,2,6,,,,,,6.0,1,0,,,,,1
1897,,,2,8,,,,,,8.0,1,0,,,,,1
1900,,,2,11,,,,,,11.0,1,0,,,,,1
1901,,,2,5,,,,,,5.0,1,0,,,,,1
1902,,,2,6,,,,,,6.0,1,0,,,,,1
1903,,,2,5,,,,,,5.0,1,0,,,,,1
1905,,,2,6,,,,,,6.0,1,0,,,,,1
1906,,,2,6,,,,,,6.0,1,0,,,,,1
1910,,,2,7,,,,,,7.0,1,0,,,,,1
1913,,,2,5,,,,,,5.0,1,0,,,,,1
1915,,,2,6,,,,,,1926.0,1,0,,,,,1
1917,,,2,5,,,,,,5.0,1,0,,,,,1
1918,,,2,5,,,,,,5.0,1,0,,,,,1
1919,,,2,6,,,,,,6.0,1,0,,,,,1
1920,,,2,9,,,,,,9.0,1,0,,,,,1
1921,,,2,19,,,,,,19.0,1,0,,,,,1
1922,,,2,25,,,,,,25.0,1,0,,,,,1
1923,,,2,14,,,,,,14.0,1,0,,,,,1
1924,,,2,5,,,,,,5.0,1,0,,,,,1
1925,,,2,7,,,,,,7.0,1,0,,,,,1
1926,,,2,5,,,,,,5.0,1,0,,,,,1
1927,,,2,6,,,,,,6.0,1,0,,,,,1
1932,,,2,15,,,,,,15.0,1,0,,,,,1
1933,,,2,8,,,,,,8.0,1,0,,,,,1
1934,,,2,6,,,,,,6.0,1,0,,,,,1
1935,,,2,6,,,,,,6.0,1,0,,,,,1
1936,,,2,5,,,,,,5.0,1,0,,,,,1
1937,,,2,7,,,,,,7.0,1,0,,,,,1
1938,,,2,5,,,,,,5.0,30,0,0.0,0.0,31.0,161.0,4
1940,,,2,5,,,,,,5.0,1,0,,0.0,25.0,,1
1945,,,1,12,,189.0,,,,206432.0,1,0,,,,,1
1955,,,1,5,,173.0,,,,970030.0,1,0,,,,,1
1962,,,1,5,2.0,4.0,,,,,1,0,,,,,1
1963,,,1,5,1.0,1.0,,,,,1,0,,,,,1
1968,,,1,5,1.0,4.0,,,,,1,0,,,,,1
1969,,,1,5,1.0,1.0,,,,,1,0,,,,,1
2072,,,1,5,,641.0,,5916.0,,802784.0,1,0,,,,,1
2073,,,1,7,,361.0,,4925.0,,87673.0,1,0,,,,,1
2078,,,1,15,,46.0,,4606.0,,156000.0,1,0,,,,,1
2084,,,1,8,,187.0,,7483.0,,717080.0,1,0,,,,,1
2093,,,5,9,,5017.0,,2561.0,,20000.0,1,0,,,,,1
2100,,,5,12,,17903.0,,7739.0,,1723623.0,1,0,,,,,5
2127,,,5,7,,,,5609.0,,717080.0,1,0,,,,,1
2133,,,4,8,,,,34437.0,,772275.0,1,0,,,,,8
2136,,,4,10,,,,6760.0,,622348.0,1,0,,,,,1
2137,,,4,5,,,,5981.0,,20000.0,1,0,,,,,1
2138,,,4,10,,,,8072.0,,147400.0,1,0,,,,,1
2139,,,4,20,,,,31810.0,,759328.0,1,0,,,,,8
2140,,,1,7,,,,2710.0,,27100.0,1,0,,,,,1
2142,,,1,11,,,,796.0,,7960.0,1,0,,,,,1
2144,,,2,5,,,,5.0,,150.0,1,0,,,,,1
2145,,,4,14,,,,3587.0,,35870.0,1,0,,,,,1
2154,,,2,6,,,,763.0,,3815.0,1,0,,,,,1
2265,,,1,15,3.0,,,3.0,,,1,0,,,,,1
2284,,,1,32,13.0,126.0,,281.0,,,1,0,,,,,1
2285,,,1,60,12.0,58.0,,7.0,,,11,0,0.0,0.0,4.0,198.0,4
2286,,,1,11,11.0,160.0,,3789.0,,,11,0,10.0,,4.0,14.0,1
2287,,,1,29,3.0,5.0,,200.0,,,22,0,0.0,6.5,2.0,6.0,1
2288,,,1,13,28.0,545.0,,2152.0,,,219,0,0.0,31.0,1.0,13.0,7
2289,,,1,16,1.0,4.0,,957.0,,,11,0,10.0,8.0,2.0,179.0,4
2290,,,1,12,16.0,176.0,,484.0,,,1,0,,,6.0,,1
2292,,,1,7,1.0,,,20.0,,,7,0,0.0,0.0,16.0,155.0,4
2296,,,1,12,20.0,178.0,,1930.0,,,1,0,,,,,1
2328,,,1,5,,1.0,,11.0,,,1,0,,,,,1
2332,,,1,16,,2.0,,5.0,,,42,0,0.0,0.0,3.0,6.0,1
2334,,,1,6,,4.0,,5.0,,,4,0,0.0,0.0,52.0,157.0,4
2784,90648.1407,,1,5,2.0,,90648.1407,25.0,,,69,18,0.0,0.0,,0.0,1
2794,18129.62814,,3,5,,,18129.62814,5.0,,,1,0,,,,,1
2799,286756328.3,,1,110,,13600.0,286756328.3,2925.0,,,67,14,0.0,0.0,,8.0,3
2803,15033087.65,,11,94,,,15033087.65,4146.0,,,85,39,0.0,0.0,,28.0,6
